Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
CYRE3,Cyrela Realty,4,"14,821",4,Construção Civil,-21.56%,11.2%,0.51%,-1.4%,5.7,5.3,2.1,3.5%,8.705B,"Cyrela segue indo muito bem, lançando um pouco menos mas mantendo os indicadores de qualidade"
ALPA4,Alpargatas,4,"2,924",5,Varejo - Calçados e Artigos Esportivos,-0.1623%,55.1%,10%,8.8%,9.1,14,0.54,-36%,7.713B,"Resultado bem expressivo da Alpargatas, empresa que já vinha melhorando bem nos últimos resultados"
EGIE3,Engie,4,"2,484",4,Energia - Geração,-10.8%,17.1%,2.7%,-1.2%,7.9,13,3.1,-4.8%,37.22B,"A Engie ganhou uns bons contratos de reserva de energia, aquisições e desenvolvimento ajudam a empresa a seguir crescendo"
KEPL3,Kepler,4,"1,682",3,Máquinas e Produtos Industriais,-12.31%,-3.03%,-8.2%,-5.1%,5.9,10,-,-100%,1.287B,"A Kepler está amargando a crise do agro com força, o importante é manter o foco no longo prazo e esperar a recuperação"
AXIA3,AXIA Energia,4,"10,411",5,Energia - Geração,-14.39%,-,37%,45%,18,18,3.9,-28%,163.5B,"A Axia segue tentando acabar com os esqueletos do armário, que parecem que não acabam nunca, mas está melhorando visivelmente"
POMO4,Marcopolo,4,"7,590",3,Automotivo,-13.81%,7.23%,2.9%,1.7%,6,6.2,1,2%,7.707B,"Resultado ok da Marcopolo, perdeu um pouco de receita, mas melhorou as margens, se manteve em um bom patamar de resultados"
TRIS3,Trisul,4,873,4,Construção Civil,-21.86%,-33.6%,-3.3%,-7%,7.5,7.1,2.2,-9.8%,1.094B,"Interessante a migração para o MCMV, empresa vendendo para girar estoque, sacrificando margens, importante ciclo de entregas"
MOTV3,Motiva,4,"5,632",4,Transporte e Logística - Concessões,-13.74%,11.7%,-2%,2.7%,7.1,8.9,3.6,7.1%,29.71B,"A Motiva está fazendo uma profunda reestruturação estratégica dos seus ativos, aparentemente o resultado está ficando melhor"
GMAT3,Grupo Mateus,4,"6,081",3,Varejo - Alimentício,-3.939%,-42.2%,-3.8%,-6.8%,4.1,6.2,0.27,-29%,10.25B,"Resultado feio, desde o trimestre passado a empresa passou pro dificuldades nas vendas que nunca teve, pelo menos segurou o caixa"
ABCB4,Banco ABC,4,"1,705",3,Bancos,-5.099%,22.8%,,0.5%,,6.6,-,0%,6.463B,"Talvez um pouco rigorosa a IA, não achei ruim o resultado do ABC mesmo que alguns indicadores tenham piorado"
